Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPEKNW010T8X1,Intel,660p NVMe PCIe M.2 1TB,85,195,111958,https://ssd.userbenchmark.com/SpeedTest/602553/INTEL-SSDPEKNW010T8
SSD,PX-1TM8PeG,Plextor,M8Pe NVMe PCIe M.2 1TB,86,194,340,https://ssd.userbenchmark.com/SpeedTest/175630/PLEXTOR-PX-1TM8PeG
SSD,CT500P1SSD8,Crucial,P1 3D NVMe PCIe M.2 500GB,87,193,55739,https://ssd.userbenchmark.com/SpeedTest/614152/CT500P1SSD8
SSD,CSSD-N800GBNX500,Corsair,Neutron NX500 NVMe PCIe 800GB,88,192,92,https://ssd.userbenchmark.com/SpeedTest/369784/Neutron-NX500
SSD,WDS500G1B0C,WD,Blue SN500 NVMe PCIe M.2 500GB,89,190,10666,https://ssd.userbenchmark.com/SpeedTest/759521/WDC-WDS500G1B0C-00S6U0
SSD,SB-ROCKET-512,Nvme,Rocket NVMe PCIe M.2 512GB,90,189,12645,https://ssd.userbenchmark.com/SpeedTest/801884/NVMe-Sabrent
SSD,SSDPEDMW400G4X1,Intel,750 Series NVMe PCIe 400GB,91,189,8191,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,SSDPEDMW400G4R5,Intel,750 Series NVMe PCIe 400GB,91,189,8191,https://ssd.userbenchmark.com/SpeedTest/26870/NVMe-INTEL-SSDPEDMW40
SSD,ZTSSD-PG3-480G-GE,Zotac,Sonix NVMe PCIe 480GB,92,188,211,https://ssd.userbenchmark.com/SpeedTest/131041/NVMe-ZTSSDPG3-480G-GE
SSD,,Intel,Optane+ NVMe PCIe 500GB,93,188,1254,https://ssd.userbenchmark.com/SpeedTest/268688/Intel-Optane-466GBSSD
SSD,SSDPEKKW256G8XT,Intel,760p Series NVMe PCIe M.2 256GB,94,188,18595,https://ssd.userbenchmark.com/SpeedTest/434656/INTEL-SSDPEKKW256G8
SSD,MKNSSDPL250GB-D8,Mushkin,Pilot NVMe PCIe M.2 250GB,95,187,797,https://ssd.userbenchmark.com/SpeedTest/515464/MKNSSDPL250GB-D8
