Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80633I74960X,Intel,Core i7-4960X,121,80.7,3224,https://cpu.userbenchmark.com/Intel-Core-i7-4960X/Rating/1977
CPU,,Intel,Core i7-8809G,122,80.7,2972,https://cpu.userbenchmark.com/SpeedTest/422264/IntelR-CoreTM-i7-8809G-CPU---310GHz
CPU,YD292XA8AFWOF,AMD,Ryzen TR 2920X,123,80.6,2211,https://cpu.userbenchmark.com/SpeedTest/625966/AMD-Ryzen-Threadripper-2920X-12-Core-Processor
CPU,BX80684I39100F,Intel,Core i3-9100F,124,80.6,60637,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054
CPU,BX80673I77800X,Intel,Core i7-7800X,125,80.5,14440,https://cpu.userbenchmark.com/SpeedTest/304816/IntelR-CoreTM-i7-7800X-CPU---350GHz
CPU,BX80662I56600K,Intel,Core i5-6600K,126,80.4,288423,https://cpu.userbenchmark.com/Intel-Core-i5-6600K/Rating/3503
CPU,BX80673I97980X,Intel,Core i9-7980XE,127,80.4,3503,https://cpu.userbenchmark.com/SpeedTest/352013/IntelR-CoreTM-i9-7980XE-CPU---260GHz
CPU,,Intel,Xeon E3-1270 v6,128,80.4,444,https://cpu.userbenchmark.com/SpeedTest/278175/IntelR-XeonR-CPU-E3-1270-v6---380GHz
CPU,,Intel,Xeon E3-1286 v3,129,80.3,20,https://cpu.userbenchmark.com/SpeedTest/33047/IntelR-XeonR-CPU-E3-1286-v3---370GHz
CPU,,Intel,Xeon E5-1650 v3,130,80.2,4966,https://cpu.userbenchmark.com/SpeedTest/16320/IntelR-XeonR-CPU-E5-1650-v3---350GHz
CPU,BX80677I77700,Intel,Core i7-7700,131,80.2,192089,https://cpu.userbenchmark.com/Intel-Core-i7-7700/Rating/3887
CPU,,AMD,Ryzen 5 4600HS,132,80,588,https://cpu.userbenchmark.com/SpeedTest/1134526/AMD-Ryzen-5-4600HS-with-Radeon-Graphics
CPU,CL8068404121817,Intel,Core i7-9750H,133,80,210717,https://cpu.userbenchmark.com/SpeedTest/766364/IntelR-CoreTM-i7-9750H-CPU---260GHz
CPU,YD260XBCAFBOX,AMD,Ryzen 5 2600X,134,79.9,251506,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600X/Rating/3956
CPU,,Intel,Xeon E5-1650 v2,135,79.9,5090,https://cpu.userbenchmark.com/SpeedTest/7574/IntelR-XeonR-CPU-E5-1650-v2---350GHz
CPU,,Intel,Core i3-10300T,136,79.9,2,https://cpu.userbenchmark.com/SpeedTest/1290166/IntelR-CoreTM-i3-10300T-CPU---300GHz
CPU,,Intel,Core i5-10400T,137,79.8,187,https://cpu.userbenchmark.com/SpeedTest/1189479/IntelR-CoreTM-i5-10400T-CPU---200GHz
CPU,YD295XA8UGAAF,AMD,Ryzen TR 2950X,138,79.8,6631,https://cpu.userbenchmark.com/SpeedTest/569025/AMD-Ryzen-Threadripper-2950X-16-Core-Processor
CPU,,Intel,Core i7-3970X,139,79.8,2317,https://cpu.userbenchmark.com/SpeedTest/6794/IntelR-CoreTM-i7-3970X-CPU---350GHz
CPU,,Intel,Core i5-10400H,140,79.6,156,https://cpu.userbenchmark.com/SpeedTest/1084904/IntelR-CoreTM-i5-10400H-CPU---260GHz
CPU,BX80646I54690K,Intel,Core i5-4690K,141,79.6,190750,https://cpu.userbenchmark.com/Intel-Core-i5-4690K/Rating/2432
CPU,BX80633I74930K,Intel,Core i7-4930K,142,79.6,14667,https://cpu.userbenchmark.com/Intel-Core-i7-4930K/Rating/1976
CPU,,Intel,Core i5-9400H,143,79.4,427,https://cpu.userbenchmark.com/SpeedTest/843530/IntelR-CoreTM-i5-9400H-CPU---250GHz
CPU,100-000000100,AMD,Ryzen 5 4600H,144,79.3,14525,https://cpu.userbenchmark.com/SpeedTest/1110331/AMD-Ryzen-5-4600H-with-Radeon-Graphics
CPU,BX80684I38300,Intel,Core i3-8300,145,79.3,1565,https://cpu.userbenchmark.com/SpeedTest/484077/IntelR-CoreTM-i3-8300-CPU---370GHz
CPU,CL8068403805708,Intel,Core i9-8950HK,146,79.2,11297,https://cpu.userbenchmark.com/SpeedTest/486215/IntelR-CoreTM-i9-8950HK-CPU---290GHz
CPU,FH8068403419332,Intel,Core i7-8559U,147,79.2,1977,https://cpu.userbenchmark.com/SpeedTest/543591/IntelR-CoreTM-i7-8559U-CPU---270GHz
CPU,,Intel,Core i5-10300H,148,79.2,18003,https://cpu.userbenchmark.com/SpeedTest/1027882/IntelR-CoreTM-i5-10300H-CPU---250GHz
CPU,BX80619I73960X,Intel,Core i7-3960X,149,79.1,1828,https://cpu.userbenchmark.com/Intel-Core-i7-3960X/Rating/1973
